deployment_id,deployment_project_reference,datacenter_reference,receiver_manufacturer,receiver_model,receiver_serial_number,latitude,longitude,time,recovery_datetime_utc,array_name,receiver_reference_type,receiver_reference_id,bottom_depth,depth,deployment_comments
,,,,,,degrees_north,degrees_east,UTC,UTC,,,,m,m,
ASF-West Line D-VR2-2272-2009,ASF,OTN-Global,VEMCO,VR2,2272,50.28333,-64.43556,2009-06-13T18:06:00Z,2009-08-06T20:00:00Z,ASF,ManmadePlatform,ASF_ASF-West Line D,20.9,7,NOT GIVEN 
ASF-WYERS POOL-Kedgewick-VR2-2603-2006,ASF,OTN-Global,VEMCO,VR2,2603,47.81337,-67.73847,2006-05-23T03:00:00Z,2006-10-05T03:00:00Z,ASF,ManmadePlatform,ASF_ASF-WYERS POOL-Kedgewick,123.83,74.72,NOT GIVEN 
ASF-WYERS POOL-Kedgewick-VR2-3342-2005,ASF,OTN-Global,VEMCO,VR2,3342,47.81336,-67.73846,2005-05-27T03:00:00Z,2005-10-01T03:00:00Z,ASF,ManmadePlatform,ASF_ASF-WYERS POOL-Kedgewick,123.83,74.72,NOT GIVEN 
ASF-2 km Upriver of the Oxbow-VR2-1135-2007,ASF,OTN-Global,VEMCO,VR2,1135,46.95367,-65.8715,2007-05-17T03:00:00Z,2007-06-26T03:00:00Z,ASF,ManmadePlatform,ASF_ASF-2 km Upriver of the Oxbow,1.538,74.72,NOT GIVEN 
ASF-Above Falls-VR2-3335-2008,ASF,OTN-Global,VEMCO,VR2,3335,50.53819,-64.08922,2008-06-17T21:46:00Z,2008-08-06T17:50:00Z,ASF,ManmadePlatform,ASF_ASF-Above Falls,1.2,1.2,NOT GIVEN 
ASF-Above Falls-VR2-3335-2009,ASF,OTN-Global,VEMCO,VR2,3335,50.53819,-64.08922,2009-06-26T18:40:00Z,2009-08-07T17:50:00Z,ASF,ManmadePlatform,ASF_ASF-Above Falls,1.2,1.2,NOT GIVEN 
ASF-Above Falls-VR2-3342-2010,ASF,OTN-Global,VEMCO,VR2,3342,50.53819,-64.08922,2010-06-19T12:30:00Z,2010-08-13T18:48:00Z,ASF,ManmadePlatform,ASF_ASF-Above Falls,1.2,74.72,NOT GIVEN 
ASF-Above Falls-VR2-3349-2009,ASF,OTN-Global,VEMCO,VR2,3349,50.53819,-64.08922,2009-08-07T14:11:00Z,2010-06-19T16:30:00Z,ASF,ManmadePlatform,ASF_ASF-Above Falls,0.6,0.6,NOT GIVEN 
ASF-Above Falls-VR2-3357-2007,ASF,OTN-Global,VEMCO,VR2,3357,50.53819,-64.08922,2007-06-18T03:00:00Z,2007-07-30T17:00:00Z,ASF,ManmadePlatform,ASF_ASF-Above Falls,1.5,1.5,NOT GIVEN 
ASF-Above Falls-VR2-5032-2010,ASF,OTN-Global,VEMCO,VR2,5032,50.53819,-64.08922,2010-08-13T15:15:00Z,2011-08-14T03:00:00Z,ASF,ManmadePlatform,ASF_ASF-Above Falls,123.83,74.72,NOT GIVEN 
ASF-Anticosti Island 1-VR2-2587-2010,ASF,OTN-Global,VEMCO,VR2,2587,49.89227,-64.5363,2010-05-31T21:00:00Z,2010-08-04T19:47:00Z,ASF,ManmadePlatform,ASF_ASF-Anticosti Island 1,30,7,NOT GIVEN 
ASF-Anticosti Island 2-VR2-2581-2010,ASF,OTN-Global,VEMCO,VR2,2581,49.89673,-64.54998,2010-05-31T21:00:00Z,2010-08-31T03:34:00Z,ASF,ManmadePlatform,ASF_ASF-Anticosti Island 2,60,7,NOT GIVEN 
ASF-Anticosti Island 3-VR2-3335-2010,ASF,OTN-Global,VEMCO,VR2,3335,49.90093,-64.5633,2010-05-31T21:00:00Z,2010-08-13T18:48:00Z,ASF,ManmadePlatform,ASF_ASF-Anticosti Island 3,70,7,NOT GIVEN 
ASF-Anticosti Island 4-VR2-3346-2010,ASF,OTN-Global,VEMCO,VR2,3346,49.90455,-64.57548,2010-05-31T21:00:00Z,2010-08-04T20:14:00Z,ASF,ManmadePlatform,ASF_ASF-Anticosti Island 4,80,7,NOT GIVEN 
EST-Gamtoos-VR2W-119101-3,SAF,OTN-Global,VEMCO,VR2W,119101,-33.96096,25.01524,2014-07-04T11:51:00Z,2015-02-25T14:25:00Z,SAF,ManmadePlatform,SAF_EST-Gamtoos,1.6,1.6,NOT GIVEN 
EST-Gouritz-U22-001-10098862-2,SAF,OTN-Global,VEMCO,U22-001,10098862,-34.33985,21.881,2013-10-23T11:00:00Z,2015-02-20T14:32:00Z,SAF,ManmadePlatform,SAF_EST-Gouritz,1,1,NOT GIVEN 
EST-Gouritz-VR2W-102853-2,SAF,OTN-Global,VEMCO,VR2W,102853,-34.33985,21.881,2013-10-23T11:00:00Z,2015-02-20T14:32:00Z,SAF,ManmadePlatform,SAF_EST-Gouritz,1,1,NOT GIVEN 
EST-Keiskamma-U22-001-10098859-2,SAF,OTN-Global,VEMCO,U22-001,10098859,-33.27771,27.48596,2014-02-17T12:50:00Z,2015-03-12T13:00:00Z,SAF,ManmadePlatform,SAF_EST-Keiskamma,1.5,1.6,NOT GIVEN 
EST-Keiskamma-VR2W-120163-2,SAF,OTN-Global,VEMCO,VR2W,120163,-33.27771,27.48596,2014-02-17T12:50:00Z,2015-03-12T13:00:00Z,SAF,ManmadePlatform,SAF_EST-Keiskamma,1.5,1.5,NOT GIVEN 
EST-Swartkops-VR2W-119095-3,SAF,OTN-Global,VEMCO,VR2W,119095,-33.85946,25.6262,2014-06-24T13:22:00Z,2015-06-23T14:30:00Z,SAF,ManmadePlatform,SAF_EST-Swartkops,1.5,1.5,NOT GIVEN 
ESTSundays-VR2W-112441-4,SAF,OTN-Global,VEMCO,VR2W,112441,-33.69511,25.83502,2014-11-28T16:52:00Z,2015-01-23T16:26:02Z,SAF,ManmadePlatform,SAF_SAF-Sundays,1.5,1.5,NOT GIVEN 
GSBGSB001-VR2W-119624-3,SAF,OTN-Global,VEMCO,VR2W,119624,-34.69701,19.40543,2014-12-08T13:47:00Z,2015-06-11T15:15:00Z,SAF,ManmadePlatform,SAF_GSB-GSB001,22.2,2.7,NOT GIVEN 
PSJPSJ001-VR2W-119100-4,SAF,OTN-Global,VEMCO,VR2W,119100,-31.61551,29.59351,2014-12-05T07:35:30Z,2015-06-22T11:28:00Z,SAF,ManmadePlatform,SAF_SAF-PSJ001,21.4,2.7,NOT GIVEN 
PSJPSJ002-U22-001-10106787-4,SAF,OTN-Global,VEMCO,U22-001,10106787,-31.62029,29.60005,2014-12-05T07:57:10Z,2015-06-22T12:40:00Z,SAF,ManmadePlatform,SAF_SAF-PSJ002,33.5,2.7,NOT GIVEN 
PSJPSJ002-VR2W-120168-4,SAF,OTN-Global,VEMCO,VR2W,120168,-31.62029,29.60005,2014-12-05T07:57:10Z,2015-06-22T12:40:00Z,SAF,ManmadePlatform,SAF_SAF-PSJ002,33.5,2.7,NOT GIVEN 
PSJPSJ003-VR2W-112472-4,SAF,OTN-Global,VEMCO,VR2W,112472,-31.62421,29.60686,2014-12-05T08:53:08Z,2015-06-22T12:31:00Z,SAF,ManmadePlatform,SAF_SAF-PSJ003,42,2.7,NOT GIVEN 
SAFAB003-VR2W-120157-6,SAF,OTN-Global,VEMCO,VR2W,120157,-33.79314,26.31528,2014-10-28T11:09:00Z,2015-04-20T10:05:00Z,SAF,ManmadePlatform,SAF_SAF-AB003,27.8,2.8,NOT GIVEN 
SAFAB004-VR2W-119110-6,SAF,OTN-Global,VEMCO,VR2W,119110,-33.80161,26.31643,2014-10-29T11:04:00Z,2015-04-20T10:20:00Z,SAF,ManmadePlatform,SAF_SAF-AB004,30.8,2.8,NOT GIVEN 
SAFAB005-U22-001-10113348-6,SAF,OTN-Global,VEMCO,U22-001,10113348,-33.80974,26.31633,2014-10-28T11:02:00Z,2015-04-20T10:35:00Z,SAF,ManmadePlatform,SAF_SAF-AB005,30.4,74.72,NOT GIVEN 
SAFAB005-VR2W-112419-6,SAF,OTN-Global,VEMCO,VR2W,112419,-33.80974,26.31633,2014-10-28T11:02:00Z,2015-04-20T10:35:00Z,SAF,ManmadePlatform,SAF_SAF-AB005,30.4,2.8,NOT GIVEN 
SAFAB006-VR2W-120150-6,SAF,OTN-Global,VEMCO,VR2W,120150,-33.81775,26.31649,2014-10-28T10:59:00Z,2015-04-20T10:51:00Z,SAF,ManmadePlatform,SAF_SAF-AB006,30.2,2.8,NOT GIVEN 
SAFAB007-VR2W-119617-6,SAF,OTN-Global,VEMCO,VR2W,119617,-33.82578,26.31648,2014-10-28T10:54:00Z,2015-04-20T11:04:00Z,SAF,ManmadePlatform,SAF_SAF-AB007,28.1,2.8,NOT GIVEN 
CPCP001-VR2W-119161-3,SAF,OTN-Global,VEMCO,VR2W,119161,-34.3355,18.48023,2014-08-12T14:24:00Z,2015-03-14T17:02:00Z,SAF,ManmadePlatform,SAF_SAF-CP001,32,2.7,NOT GIVEN 
CPCP002-U22-001-10098872-3,SAF,OTN-Global,VEMCO,U22-001,10098872,-34.33209,18.48548,2014-08-12T14:19:00Z,2015-03-14T16:22:00Z,SAF,ManmadePlatform,SAF_SAF-CP002,50,2.7,NOT GIVEN 
CPCP002-VR2W-112345-3,SAF,OTN-Global,VEMCO,VR2W,112345,-34.33209,18.48548,2014-08-12T14:19:00Z,2015-03-14T16:22:00Z,SAF,ManmadePlatform,SAF_SAF-CP002,50,2.7,NOT GIVEN 
CPCP003-VR2W-120152-3,SAF,OTN-Global,VEMCO,VR2W,120152,-34.32892,18.49085,2014-08-12T10:19:00Z,2015-03-14T16:01:00Z,SAF,ManmadePlatform,SAF_SAF-CP003,55,2.7,NOT GIVEN 
ASF-Anticosti Island 5-VR2W-109522-2010,ASF,OTN-Global,VEMCO,VR2W,109522,49.90867,-64.58682,2010-05-31T21:00:00Z,2010-08-04T20:27:00Z,ASF,ManmadePlatform,ASF_ASF-Anticosti Island 5,90,7,NOT GIVEN 
ASF-CB4-VR2-4293-2009,ASF,OTN-Global,VEMCO,VR2,4293,47.83153,-65.22368,2009-05-21T03:00:00Z,2009-07-15T03:00:00Z,ASF,ManmadePlatform,ASF_ASF-CB4,123.83,74.72,NOT GIVEN 
ASF-Barnaby Isand-VR2-1127-2009,ASF,OTN-Global,VEMCO,VR2,1127,46.91143,-65.62213,2009-04-27T21:46:00Z,2009-12-01T04:00:00Z,ASF,ManmadePlatform,ASF_ASF-Barnaby Isand,123.83,74.72,NOT GIVEN 
ASF-Barnaby Isand-VR2-2605-2005,ASF,OTN-Global,VEMCO,VR2,2605,46.91154,-65.62074,2005-05-12T03:00:00Z,2005-07-19T03:00:00Z,ASF,ManmadePlatform,ASF_ASF-Barnaby Isand,123.83,74.72,NOT GIVEN 
ASF-BARTIBOG UPSTREAM 1-VR2-2267-2009,ASF,OTN-Global,VEMCO,VR2,2267,47.07802,-65.36585,2009-04-28T19:35:00Z,2009-12-09T04:00:00Z,ASF,ManmadePlatform,ASF_ASF-BARTIBOG UPSTREAM 1,123.83,74.72,NOT GIVEN 
ASF-BARTIBOG UPSTREAM 2-VR2-1152-2009,ASF,OTN-Global,VEMCO,VR2,1152,47.08213,-65.36617,2009-04-28T19:34:00Z,2009-12-01T04:00:00Z,ASF,ManmadePlatform,ASF_ASF-BARTIBOG UPSTREAM 2,123.83,74.72,NOT GIVEN 
ASF-BB low-VR2-2599-2005,ASF,OTN-Global,VEMCO,VR2,2599,46.98929,-65.55853,2005-05-12T03:00:00Z,2005-07-18T03:00:00Z,ASF,ManmadePlatform,ASF_ASF-BB low,123.83,74.72,NOT GIVEN 
ASF-Belledune Coastline 1-VR2-2589-2005,ASF,OTN-Global,VEMCO,VR2,2589,47.92293,-65.89374,2005-06-09T03:00:00Z,2005-07-08T03:00:00Z,ASF,ManmadePlatform,ASF_ASF-Belledune Coastline 1,123.83,74.72,NOT GIVEN 
ASF-Belledune Coastline 2-VR2-2593-2005,ASF,OTN-Global,VEMCO,VR2,2593,47.93039,-65.88554,2005-06-09T03:00:00Z,2005-07-08T03:00:00Z,ASF,ManmadePlatform,ASF_ASF-Belledune Coastline 2,123.83,74.72,NOT GIVEN 
ASF-Belledune Coastline 3-VR2-2600-2005,ASF,OTN-Global,VEMCO,VR2,2600,47.93815,-65.87947,2005-06-09T03:00:00Z,2005-07-08T03:00:00Z,ASF,ManmadePlatform,ASF_ASF-Belledune Coastline 3,123.83,74.72,NOT GIVEN 
ASF-Below Falls-VR2-1143-2007,ASF,OTN-Global,VEMCO,VR2,1143,50.53678,-64.10458,2007-07-30T16:17:00Z,2008-05-29T17:40:00Z,ASF,ManmadePlatform,ASF_ASF-Below Falls,123.83,74.72,NOT GIVEN 
ASF-Below Falls-VR2-1143-2008,ASF,OTN-Global,VEMCO,VR2,1143,50.53673,-64.10447,2008-08-06T16:22:00Z,2009-08-07T22:00:00Z,ASF,ManmadePlatform,ASF_ASF-Below Falls,4.6,4.6,NOT GIVEN 
ASF-Below Falls-VR2-2587-2007,ASF,OTN-Global,VEMCO,VR2,2587,50.53673,-64.10447,2007-07-30T20:17:00Z,2008-05-29T17:40:00Z,ASF,ManmadePlatform,ASF_ASF-Below Falls,4.3,4.3,NOT GIVEN 
ASF-Below Falls-VR2-3342-2008,ASF,OTN-Global,VEMCO,VR2,3342,50.53673,-64.10447,2008-05-29T17:45:00Z,2008-08-06T20:15:00Z,ASF,ManmadePlatform,ASF_ASF-Below Falls,4.3,4.3,NOT GIVEN 
ASF-Below Falls-VR2-3342-2009,ASF,OTN-Global,VEMCO,VR2,3342,50.53673,-64.10447,2009-06-10T14:40:00Z,2009-08-07T20:06:00Z,ASF,ManmadePlatform,ASF_ASF-Below Falls,6.1,6.1,NOT GIVEN 
ASF-Below Falls-VR2-3353-2007,ASF,OTN-Global,VEMCO,VR2,3353,50.53673,-64.10447,2007-06-12T03:00:00Z,2007-07-30T20:00:00Z,ASF,ManmadePlatform,ASF_ASF-Below Falls,4.3,4.3,NOT GIVEN 
ASF-Below Falls-VR2-3353-2009,ASF,OTN-Global,VEMCO,VR2,3353,50.53673,-64.10447,2009-08-07T16:52:00Z,2010-05-02T03:00:00Z,ASF,ManmadePlatform,ASF_ASF-Below Falls,4.6,4.6,NOT GIVEN 
ASF-Below Falls-VR2-5033-2010,ASF,OTN-Global,VEMCO,VR2,5033,50.53673,-64.10447,2010-06-19T11:30:00Z,2010-08-13T18:50:00Z,ASF,ManmadePlatform,ASF_ASF-Below Falls,6.1,5.2,NOT GIVEN 
ASF-Boies1-VR2-2606-2005,ASF,OTN-Global,VEMCO,VR2,2606,46.47517,-66.40005,2005-05-17T03:00:00Z,2005-06-30T03:00:00Z,ASF,ManmadePlatform,ASF_ASF-Boies1,123.83,74.72,NOT GIVEN 
ASF-Boies2-VR2-2607-2005,ASF,OTN-Global,VEMCO,VR2,2607,46.47575,-66.40132,2005-05-17T03:00:00Z,2005-06-30T03:00:00Z,ASF,ManmadePlatform,ASF_ASF-Boies2,123.83,74.72,NOT GIVEN 
ASF-Boiestown-Tuckaway Lodge-VR2-1013-2006,ASF,OTN-Global,VEMCO,VR2,1013,46.47652,-66.4007,2006-05-14T03:00:00Z,2006-08-15T03:00:00Z,ASF,ManmadePlatform,ASF_ASF-Boiestown-Tuckaway Lodge,123.83,74.72,NOT GIVEN 
ASF-Boiestown-Tuckaway Lodge-VR2-1097-2007,ASF,OTN-Global,VEMCO,VR2,1097,46.47652,-66.4007,2007-05-15T03:00:00Z,2007-12-01T04:00:00Z,ASF,ManmadePlatform,ASF_ASF-Boiestown-Tuckaway Lodge,1.846,74.72,NOT GIVEN 
ASF-Boston Brook-VR2-2609-2006,ASF,OTN-Global,VEMCO,VR2,2609,47.52763,-67.62078,2006-06-07T03:00:00Z,2006-10-04T03:00:00Z,ASF,ManmadePlatform,ASF_ASF-Boston Brook,123.83,74.72,NOT GIVEN 
ASF-Boston Brook-VR2-3347-2005,ASF,OTN-Global,VEMCO,VR2,3347,47.52763,-67.62078,2005-06-01T03:00:00Z,2005-10-01T03:00:00Z,ASF,ManmadePlatform,ASF_ASF-Boston Brook,123.83,74.72,NOT GIVEN 
ASF-Bridge 1-VR2-3352-2007,ASF,OTN-Global,VEMCO,VR2,3352,50.29992,-64.31317,2007-06-11T03:00:00Z,2007-07-29T17:19:00Z,ASF,ManmadePlatform,ASF_ASF-Bridge 1,123.83,74.72,NOT GIVEN 
ASF-Bridge 1-VR2-3352-2008,ASF,OTN-Global,VEMCO,VR2,3352,50.29992,-64.31317,2008-05-28T18:40:00Z,2008-08-06T02:45:00Z,ASF,ManmadePlatform,ASF_ASF-Bridge 1,2.4,2,NOT GIVEN 
ASF-Bridge 2-VR2-3353-2008,ASF,OTN-Global,VEMCO,VR2,3353,50.30036,-64.30036,2008-05-28T18:35:00Z,2008-08-06T02:20:00Z,ASF,ManmadePlatform,ASF_ASF-Bridge 2,1.5,1.5,NOT GIVEN 
ASF-Bridge-VR2-1564-2009,ASF,OTN-Global,VEMCO,VR2,1564,50.3,-64.31317,2009-05-05T03:00:00Z,2009-07-28T17:58:00Z,ASF,ManmadePlatform,ASF_ASF-Bridge,3,2.5,NOT GIVEN 
ASF-Bridge-VR2-2884-2009,ASF,OTN-Global,VEMCO,VR2,2884,50.3,-64.31317,2009-08-06T16:50:00Z,2010-06-19T21:30:00Z,ASF,ManmadePlatform,ASF_ASF-Bridge,3,2.1,NOT GIVEN 
ASF-Bridge-VR2W-105524-2010,ASF,OTN-Global,VEMCO,VR2W,105524,50.3,-64.31317,2010-08-13T20:55:00Z,,ASF,ManmadePlatform,ASF_ASF-Bridge,123.83,74.72,NOT GIVEN 
ASF-Bridge-VR2W-109400-2010,ASF,OTN-Global,VEMCO,VR2W,109400,50.3,-64.31317,2010-06-02T17:08:00Z,2010-07-26T17:46:00Z,ASF,ManmadePlatform,ASF_ASF-Bridge,1.5,1.5,NOT GIVEN 
ASF-CASC1-VR2-2586-2005,ASF,OTN-Global,VEMCO,VR2,2586,48.09123,-65.66475,2005-06-08T03:00:00Z,2005-07-08T03:00:00Z,ASF,ManmadePlatform,ASF_ASF-CASC1,123.83,74.72,NOT GIVEN 
ASF-CASC2-VR2-2587-2005,ASF,OTN-Global,VEMCO,VR2,2587,48.08235,-65.66627,2005-06-08T03:00:00Z,2005-07-08T03:00:00Z,ASF,ManmadePlatform,ASF_ASF-CASC2,123.83,74.72,NOT GIVEN 
ASF-CASC3-VR2-2588-2005,ASF,OTN-Global,VEMCO,VR2,2588,48.07346,-65.67134,2005-06-08T03:00:00Z,2005-07-08T03:00:00Z,ASF,ManmadePlatform,ASF_ASF-CASC3,123.83,74.72,NOT GIVEN 
ASF-Cascapedia 1-VR2-1164-2010,ASF,OTN-Global,VEMCO,VR2,1164,48.20847,-65.90415,2010-05-10T19:24:12Z,2010-06-27T03:00:00Z,ASF,ManmadePlatform,ASF_ASF-Cascapedia 1,123.83,74.72,NOT GIVEN 
ASF-Cascapedia 1-VR2-1169-2009,ASF,OTN-Global,VEMCO,VR2,1169,48.20847,-65.90415,2009-06-04T03:00:00Z,2009-07-14T03:00:00Z,ASF,ManmadePlatform,ASF_ASF-Cascapedia 1,123.83,74.72,NOT GIVEN 
ASF-Cascapedia 2-VR2-1164-2009,ASF,OTN-Global,VEMCO,VR2,1164,48.18993,-65.90375,2009-06-04T03:00:00Z,2009-07-14T03:00:00Z,ASF,ManmadePlatform,ASF_ASF-Cascapedia 2,123.83,74.72,NOT GIVEN 
ASF-Cascapedia 2-VR2-1169-2010,ASF,OTN-Global,VEMCO,VR2,1169,48.18993,-65.90375,2010-05-10T19:22:20Z,2010-06-27T03:00:00Z,ASF,ManmadePlatform,ASF_ASF-Cascapedia 2,123.83,74.72,NOT GIVEN 
ASF-Cascapedia River 1-VR2-2908-2006,ASF,OTN-Global,VEMCO,VR2,2908,48.25225,-65.90237,2006-05-31T03:00:00Z,2006-06-21T03:00:00Z,ASF,ManmadePlatform,ASF_ASF-Cascapedia River 1,123.83,74.72,NOT GIVEN 
ASF-Cascapedia River 1-VR2-3337-2007,ASF,OTN-Global,VEMCO,VR2,3337,48.25225,-65.90237,2007-05-29T03:00:00Z,2007-06-27T03:00:00Z,ASF,ManmadePlatform,ASF_ASF-Cascapedia River 1,1.846,1.846,NOT GIVEN 
ASF-Cascapedia River 2-VR2-2593-2006,ASF,OTN-Global,VEMCO,VR2,2593,48.25252,-65.89808,2006-05-31T03:00:00Z,2006-06-21T03:00:00Z,ASF,ManmadePlatform,ASF_ASF-Cascapedia River 2,123.83,74.72,NOT GIVEN 
ASF-Cascapedia River 2-VR2-3341-2007,ASF,OTN-Global,VEMCO,VR2,3341,48.25252,-65.89808,2007-05-29T03:00:00Z,2007-06-27T03:00:00Z,ASF,ManmadePlatform,ASF_ASF-Cascapedia River 2,1.538,1.538,NOT GIVEN 
ASF-Casc Estuary 1-VR2-1126-2005,ASF,OTN-Global,VEMCO,VR2,1126,48.18895,-65.90343,2005-05-27T03:00:00Z,2005-10-01T03:00:00Z,ASF,ManmadePlatform,ASF_ASF-Casc Estuary 1,123.83,74.72,NOT GIVEN 
ASF-Casc Estuary 1-VR2-2910-2006,ASF,OTN-Global,VEMCO,VR2,2910,48.18895,-65.90343,2006-05-31T03:00:00Z,2006-06-21T03:00:00Z,ASF,ManmadePlatform,ASF_ASF-Casc Estuary 1,123.83,74.72,NOT GIVEN 
ASF-Casc Estuary 1-VR2-3343-2007,ASF,OTN-Global,VEMCO,VR2,3343,48.18895,-65.90343,2007-05-30T03:00:00Z,2007-06-27T03:00:00Z,ASF,ManmadePlatform,ASF_ASF-Casc Estuary 1,4.308,4.308,NOT GIVEN 
ASF-Casc Estuary 2-VR2-1571-2005,ASF,OTN-Global,VEMCO,VR2,1571,48.20888,-65.90379,2005-05-27T03:00:00Z,2005-10-01T03:00:00Z,ASF,ManmadePlatform,ASF_ASF-Casc Estuary 2,123.83,74.72,NOT GIVEN 
ASF-Casc Estuary 2-VR2-2611-2006,ASF,OTN-Global,VEMCO,VR2,2611,48.20888,-65.90379,2006-05-31T03:00:00Z,2006-06-21T03:00:00Z,ASF,ManmadePlatform,ASF_ASF-Casc Estuary 2,123.83,74.72,NOT GIVEN 
ASF-Casc Estuary 2-VR2-3346-2007,ASF,OTN-Global,VEMCO,VR2,3346,48.20888,-65.90379,2007-05-30T03:00:00Z,2007-06-27T03:00:00Z,ASF,ManmadePlatform,ASF_ASF-Casc Estuary 2,4.308,4.308,NOT GIVEN 
ASF-Cass 1 2005-VR2-2603-2005,ASF,OTN-Global,VEMCO,VR2,2603,46.93977,-65.77749,2005-05-17T03:00:00Z,2005-07-18T03:00:00Z,ASF,ManmadePlatform,ASF_ASF-Cass 1 2005,123.83,74.72,NOT GIVEN 
ASF-Cass 1-VR2-1139-2009,ASF,OTN-Global,VEMCO,VR2,1139,46.93703,-65.78003,2009-04-27T21:36:00Z,2009-12-01T04:00:00Z,ASF,ManmadePlatform,ASF_ASF-Cass 1,123.83,74.72,NOT GIVEN 
ASF-Cass 2-VR2-3610-2005,ASF,OTN-Global,VEMCO,VR2,3610,46.93685,-65.78011,2005-05-17T03:00:00Z,2005-07-18T03:00:00Z,ASF,ManmadePlatform,ASF_ASF-Cass 2,123.83,74.72,NOT GIVEN 
ASF-Cassilis 2-VR2-1139-2007,ASF,OTN-Global,VEMCO,VR2,1139,46.93438,-65.78328,2007-05-16T03:00:00Z,2007-07-05T03:00:00Z,ASF,ManmadePlatform,ASF_ASF-Cassilis 2,3.077,74.72,NOT GIVEN 
ASF-CB10-VR2-5017-2009,ASF,OTN-Global,VEMCO,VR2,5017,47.86542,-65.25482,2009-05-21T03:00:00Z,2009-07-15T03:00:00Z,ASF,ManmadePlatform,ASF_ASF-CB10,123.83,74.72,NOT GIVEN 
ASF-CB10-VR2-5017-2010,ASF,OTN-Global,VEMCO,VR2,5017,47.86542,-65.25482,2010-05-06T03:00:00Z,2010-06-27T03:00:00Z,ASF,ManmadePlatform,ASF_ASF-CB10,123.83,74.72,NOT GIVEN 
ASF-CB11-VR2-5016-2009,ASF,OTN-Global,VEMCO,VR2,5016,47.8727,-65.26175,2009-05-21T03:00:00Z,2009-07-15T03:00:00Z,ASF,ManmadePlatform,ASF_ASF-CB11,123.83,74.72,NOT GIVEN 
ASF-CB11-VR2W-109526-2010,ASF,OTN-Global,VEMCO,VR2W,109526,47.8727,-65.26175,2010-05-06T03:00:00Z,2010-06-27T03:00:00Z,ASF,ManmadePlatform,ASF_ASF-CB11,123.83,74.72,NOT GIVEN 
ASF-CB12-VR2-5018-2009,ASF,OTN-Global,VEMCO,VR2,5018,47.87942,-65.26697,2009-05-21T03:00:00Z,2009-07-15T03:00:00Z,ASF,ManmadePlatform,ASF_ASF-CB12,123.83,74.72,NOT GIVEN 
ASF-CB12-VR2-5018-2010,ASF,OTN-Global,VEMCO,VR2,5018,47.87942,-65.26697,2010-05-06T03:00:00Z,2010-06-27T03:00:00Z,ASF,ManmadePlatform,ASF_ASF-CB12,123.83,74.72,NOT GIVEN 
ASF-CB13-VR2-5021-2009,ASF,OTN-Global,VEMCO,VR2,5021,47.88623,-65.2737,2009-05-21T03:00:00Z,2009-07-15T03:00:00Z,ASF,ManmadePlatform,ASF_ASF-CB13,123.83,74.72,NOT GIVEN 
ASF-CB13-VR2-5021-2010,ASF,OTN-Global,VEMCO,VR2,5021,47.88623,-65.2737,2010-05-06T03:00:00Z,2010-06-27T03:00:00Z,ASF,ManmadePlatform,ASF_ASF-CB13,123.83,74.72,NOT GIVEN 
ASF-CB14-VR2-5029-2010,ASF,OTN-Global,VEMCO,VR2,5029,47.89332,-65.28033,2010-05-06T03:00:00Z,2010-06-27T03:00:00Z,ASF,ManmadePlatform,ASF_ASF-CB14,123.83,74.72,NOT GIVEN 
ASF-CB15-VR2-5030-2009,ASF,OTN-Global,VEMCO,VR2,5030,47.90032,-65.28652,2009-05-21T03:00:00Z,2009-07-15T03:00:00Z,ASF,ManmadePlatform,ASF_ASF-CB15,123.83,74.72,NOT GIVEN 
ASF-CB15-VR2-5030-2010,ASF,OTN-Global,VEMCO,VR2,5030,47.90032,-65.28652,2010-05-06T03:00:00Z,2010-06-27T03:00:00Z,ASF,ManmadePlatform,ASF_ASF-CB15,123.83,74.72,NOT GIVEN 
ASF-CB16-VR2-5029-2009,ASF,OTN-Global,VEMCO,VR2,5029,47.9075,-65.29292,2009-05-21T03:00:00Z,2009-07-15T03:00:00Z,ASF,ManmadePlatform,ASF_ASF-CB16,123.83,74.72,NOT GIVEN 
ASF-CB16-VR2W-109519-2010,ASF,OTN-Global,VEMCO,VR2W,109519,47.9075,-65.29292,2010-05-06T03:00:00Z,2010-06-27T03:00:00Z,ASF,ManmadePlatform,ASF_ASF-CB16,123.83,74.72,NOT GIVEN 
ASF-CB17-VR2W-103123-2009,ASF,OTN-Global,VEMCO,VR2W,103123,47.91418,-65.29935,2009-05-21T03:00:00Z,2009-07-15T03:00:00Z,ASF,ManmadePlatform,ASF_ASF-CB17,123.83,74.72,NOT GIVEN 
ASF-CB17-VR2W-103123-2010,ASF,OTN-Global,VEMCO,VR2W,103123,47.91418,-65.29935,2010-05-06T03:00:00Z,2010-06-27T03:00:00Z,ASF,ManmadePlatform,ASF_ASF-CB17,123.83,74.72,NOT GIVEN 
ASF-CB18-VR2W-105401-2010,ASF,OTN-Global,VEMCO,VR2W,105401,47.92367,-65.3091,2010-05-06T03:00:00Z,2010-06-27T03:00:00Z,ASF,ManmadePlatform,ASF_ASF-CB18,123.83,74.72,NOT GIVEN 
ASF-CB19-VR2W-103125-2009,ASF,OTN-Global,VEMCO,VR2W,103125,47.9302,-65.31177,2009-05-21T03:00:00Z,2009-07-15T03:00:00Z,ASF,ManmadePlatform,ASF_ASF-CB19,123.83,74.72,NOT GIVEN 
